,SMILES,Melting Point
0,CN(C1=CC2=NC3=C(C=CC4=C3COCN4)C=C2C=C1)S(C)(=O)=O,300.0
1,CNC1=CC=C2C=C3C=CC(=CC3=NC2=C1CO)N(C)S(C)(=O)=O,150.0
2,CCOC(=O)NC1=CC2=NC3=C(C=CC4=C3COCN4C(=O)OCC)C=C2C=C1,174.0
3,CCOC(=O)NC1=CC=C2C=C3C=CC4=C(COC(=O)N4)C3=NC2=C1,235.0
4,CCOC(=O)NC1=CC2=NC3=C(C=CC(N)=C3CO)C=C2C=C1,135.0
5,CCOC(=O)NC1=CC2=NC3=C(C=CC(NC)=C3CO)C=C2C=C1,145.0
6,CN1COCC2=C1C=CC1=C2N=C2C(C=CC(N)=C2CO)=C1,235.0
7,CCOC(=O)N1COCC2=C1C=CC1=C2N=C2C(CO)=C(NC)C=CC2=C1,146.0
8,CCOC(=O)N1COCC2=C1C=CC1=CC3=C(N=C21)C1=C(C=C3)N(COC1)C(=O)OCC,195.0
9,C1NC2=C(CO1)C1=NC3=C(C=CC4=C3COCN4)C=C1C=C2,235.0
10,CNC1=CC=C2C=C3C=CC4=C(COCN4)C3=NC2=C1CO,105.0
11,CNC1=C(CO)C2=NC3=C(C=CC4=C3COCN4S(C)(=O)=O)C=C2C=C1,205.0
12,O=N(=O)OCC(CON(=O)=O)ON(=O)=O,14.0
13,OC1=CC=NC(S)=N1,300.0
14,O=C1NCCN1C1=NC=C(S1)N(=O)=O,261.0
15,NS(=O)(=O)C1=C(Cl)C=C2N=CNS(=O)(=O)C2=C1,342.0
16,CN1C=NC2=C1C(=O)NC(=O)N2C,357.0
17,CCC1(CC)C(=O)NC(=O)NC1=O,190.0
18,CCCC1CCCCN1,-2.0
19,CCOC1=CC=C2N=C(SC2=C1)S(N)(=O)=O,188.0
20,CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,208.0
21,NC(CC1=CC=C(O)C(O)=C1)C(O)=O,295.0
22,CCOC1=CC=C(NC(N)=O)C=C1,173.0
23,CCC1(CC)C(=O)NC(=O)N(C)C1=O,155.0
24,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,254.0
25,CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O,251.0
26,OCC1OC(C(O)C1O)N1C=NC2=C1N=CNC2=O,213.0
27,OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)N(=O)=O,150.0
28,CC1=C(C)N=C(NS(=O)(=O)C2=CC=C(N)C=C2)O1,193.0
29,CCC(N)CC1=CNC2=CC=CC=C12,97.0
30,CC(C)(C)C1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,222.0
31,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,132.0
32,OC1=CC=C(Cl)C=C1C(=O)NC1=CC=C(C=C1Cl)N(=O)=O,230.0
33,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,61.0
34,OC(=O)C1=CC=CC=C1NC1=CC(=CC=C1)C(F)(F)F,134.0
35,COC1=C2OC(C)=CC(=O)C2=C(OC)C2=C1OC=C2,155.0
36,CCC1(C(=O)NC(=O)NC1=O)C1=CC2CCC(C2)C1,213.0
37,COC1=CC=C(CC2NCC(O)C2OC(C)=O)C=C1,141.0
38,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,175.0
39,CN1C2=CC=CC=C2SC2=CC=C(CC(O)=O)C=C12,146.0
40,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,222.0
41,CC1=CC=CC(C)=C1NC(=O)C1=C(O)C=C(Cl)C(=C1)S(N)(=O)=O,256.0
42,CC1=CC=CC(NC2=CC=CC=C2C(O)=O)=C1C,231.0
43,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,270.0
44,CN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,150.0
45,CCOC1=CC=C(C=C1)C(=O)OCCN(CC)CC,173.0
46,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,288.0
47,C\N=C1\CN(O)C(C2=CC=CC=C2)=C2C=C(Cl)C=CC2=N1,236.0
48,CC1(C)SC2C(NC(=O)C(N)C3=CC=CC=C3)C(=O)N2C1C(O)=O,208.0
49,CC1=C(N2C(SC1)C(NC(=O)C(N)C1=CCC=CC1)C2=O)C(O)=O,140.0
50,CN(C)CCCN1C2=CC=CC=C2SC2=CC=C(Cl)C=C12,203.0
51,CN1C2CC(CC1C1OC21)OC(=O)C(CO)C1=CC=CC=C1,59.0
